@relation '2017 Team Stats - Cumulative'

@attribute BABIP numeric
@attribute tOPS+ numeric
@attribute WHIP numeric
@attribute SO/9 numeric
@attribute RD numeric
@attribute Class {no,yes}

@data
0.273,99,1.2245,8.6,-12,?
0.3055,99,1.1945,9.85,91,?
0.279,102,1.2885,7.9,-49,?
0.312,100,1.3775,6.7,-42,?
0.3085,100.5,1.407,7.85,28,?
0.2975,100,1.2825,8.45,-2,?
0.278,100.5,1.322,9.15,0,?
0.315,101,1.228,9.2,54,?
0.311,101,1.157,9.35,86,?
0.2685,100,1.3275,7.9,-70,?
0.2825,100,1.2195,10.05,21,?
0.2795,100,1.338,8.9,8,?
0.301,100,1.345,7.15,-23,?
0.307,100.5,1.3925,7.95,-22,?
0.2725,100.5,1.4715,9.05,-15,?
0.316,100.5,1.2865,8.8,65,?
0.3,98,1.4665,7.3,-5,?
0.2675,100,1.371,8.2,-86,?
0.291,101,1.4105,7.25,-58,?
0.276,100.5,1.3675,7.3,-38,?
0.2825,99.5,1.3765,6.9,10,?
0.3105,99.5,1.2775,7.7,26,?
0.3105,99.5,1.24,9.75,34,?
0.3005,99.5,1.385,7.9,6,?
0.311,99,1.3175,7.95,33,?
0.2615,98.5,1.372,7.95,-53,?
0.291,100,1.4435,7.8,-21,?
0.299,99.5,1.364,7,-23,?
0.2975,99,1.257,8.05,19,?
0.314,99.5,1.221,9.35,56,?
