BABIP,tOPS+,WHIP,SO/9,RD,Class
0.292,101.8,1.396,7.16,-123,no
0.298,101,1.283,8.58,25,no
0.281,99.8,1.354,7.5,-37,no
0.296,93.4,1.371,7.58,-85,no
0.308,98.4,1.411,7.48,-84,no
0.295,101.8,1.277,7.88,45,no
0.304,101.4,1.118,8.9,232,yes
0.318,99.2,1.509,8.06,-18,no
0.292,100.8,1.198,9.2,-7,yes
0.301,103,1.232,7.94,73,yes
0.307,100.4,1.241,8.58,88,yes
0.289,102.8,1.228,8.02,14,yes
0.293,98.4,1.295,8.26,39,no
0.319,103.4,1.337,8.64,-46,no
0.281,98,1.261,8.66,1,yes
0.287,100.6,1.174,9.08,103,yes
0.298,102,1.399,7.74,79,yes
0.291,101.8,1.407,7.74,-78,no
0.284,98,1.331,8.54,-126,no
0.31,98.8,1.374,7.52,-14,no
0.299,99.2,1.365,7,114,yes
0.291,100.2,1.305,8.7,-2,no
0.325,104.6,1.31,8.42,81,yes
0.294,97.2,1.451,7.7,-127,no
0.323,101.4,1.437,7.52,0,no
0.306,99,1.308,8.1,77,no
0.309,98.2,1.315,7.5,-12,no
0.304,101.2,1.45,7.26,-195,no
0.298,97,1.351,7.72,9,no
0.289,99.4,1.243,8.98,-6,no
0.279,97.2,1.254,7.36,-120,no
0.287,94,1.167,7.78,65,yes
0.29,98,1.22,7.62,42,no
0.297,101.2,1.355,7.22,-84,no
0.298,99.4,1.344,7.9,-118,no
0.305,100.6,1.213,7.96,108,yes
0.301,97.2,1.199,8.7,30,yes
0.301,97.2,1.313,7.2,-19,no
0.293,102.4,1.193,8.82,66,yes
0.313,99.2,1.243,7.3,3,no
0.298,97,1.206,9.04,12,no
0.294,96.8,1.23,7.08,153,yes
0.288,96,1.319,7.74,-68,no
0.302,96.4,1.282,7.28,-61,no
0.285,95,1.163,7.13,-27,yes
0.296,97.6,1.235,8.16,34,no
0.297,100.4,1.291,7.64,30,no
0.293,99.6,1.278,8.36,-18,no
0.301,100.4,1.453,7.16,-48,no
0.312,98.6,1.239,7.92,75,yes
0.297,95.2,1.392,6.72,68,yes
0.295,95.6,1.212,8.44,23,no
0.301,102.6,1.378,7.46,15,no
0.286,101.2,1.324,7.46,-14,no
0.315,102,1.515,6.94,-66,no
0.303,99,1.239,7.04,61,yes
0.323,102.6,1.365,6.98,-13,no
0.294,99.4,1.344,6.24,-1,no
0.299,99.2,1.313,8.48,-100,no
0.288,103,1.269,8.36,2,yes
0.298,105.8,1.201,8.24,47,yes
