BABIP,tOPS+,WHIP,SO/9,RD,Class
0.298,103.3,1.39,7.3,-99,no
0.296,101.3,1.3,8.38,12,no
0.281,102,1.396,7.68,-22,no
0.292,87,1.361,7.58,-70,no
0.313,97.5,1.408,7.5,-57,no
0.295,102,1.258,7.68,55,no
0.301,99.8,1.123,8.9,174,yes
0.32,98.5,1.483,8.15,26,no
0.289,98.8,1.115,9.43,10,yes
0.299,102,1.225,7.83,64,yes
0.301,98.8,1.213,8.45,91,yes
0.289,102.8,1.222,7.85,-11,yes
0.293,101,1.297,8.48,51,no
0.325,106.8,1.304,8.7,-28,no
0.278,95.8,1.236,8.7,1,yes
0.28,98.3,1.166,9.23,74,yes
0.306,102.3,1.381,7.7,99,yes
0.295,104,1.397,8.08,-56,no
0.284,97,1.311,8.65,-86,no
0.316,101.3,1.398,7.48,-25,no
0.301,99.8,1.38,6.63,101,yes
0.286,97.3,1.308,8.48,-28,no
0.327,103.8,1.338,8.35,44,yes
0.287,93.8,1.482,7.58,-141,no
0.318,97.8,1.416,7.35,-16,no
0.309,99.3,1.344,8.18,35,no
0.312,98.5,1.349,7.5,-18,no
0.3,99,1.41,7.38,-145,no
0.296,94.8,1.357,7.78,14,no
0.283,94.3,1.244,8.98,-29,no
0.284,102,1.22,7.38,-48,no
0.289,95.5,1.178,7.53,40,yes
0.287,95.8,1.208,7.63,57,no
0.296,100,1.299,7.28,-4,no
0.295,97.8,1.331,7.85,-100,no
0.307,100.8,1.197,8,81,yes
0.299,91.5,1.187,8.68,12,yes
0.299,91.5,1.297,7.2,-29,no
0.292,104.5,1.191,8.85,65,yes
0.317,100,1.247,7.1,-7,no
0.29,94,1.24,9.1,-23,no
0.294,94,1.273,7.05,66,yes
0.281,91.5,1.277,7.85,-32,no
0.303,95.8,1.24,7.28,-34,no
0.28,86.8,1.171,6.77,-88,yes
0.295,94.5,1.236,8.03,36,no
0.3,102,1.277,7.65,42,no
0.29,95.5,1.268,8.25,-26,no
0.297,96.5,1.461,7.3,-19,no
0.311,94.8,1.251,7.88,44,yes
0.294,93.3,1.42,6.6,53,yes
0.288,90.5,1.197,8.2,27,no
0.291,97.5,1.361,7.53,-16,no
0.286,104,1.314,7.3,8,no
0.323,105.3,1.496,6.93,-26,no
0.305,98.5,1.251,6.9,37,yes
0.33,104.8,1.361,7.03,26,no
0.297,99.8,1.321,6.08,6,no
0.299,96.8,1.319,8.3,-101,no
0.289,106,1.256,8.35,-17,yes
0.298,106.3,1.203,8.38,19,yes
0.277,91,1.411,7.18,-16,no
0.285,108.5,1.169,7.3,108,yes
0.302,105,1.258,8.35,11,no
0.297,102.3,1.23,7.6,49,no
0.298,99.5,1.24,7.65,33,yes
0.291,99.3,1.302,8.35,23,no
0.3,107,1.336,7.95,-62,no
0.313,97,1.21,8.5,48,yes
0.291,94.5,1.18,7.33,36,yes
0.296,104.5,1.321,8.65,-50,no
0.298,106.3,1.352,7.4,23,no
0.292,98.3,1.146,8.05,52,no
0.319,101,1.315,7.33,1,no
0.292,101.8,1.284,7.93,-18,no
0.302,95.8,1.202,8.05,8,yes
0.296,97,1.307,6.93,-11,yes
0.267,95,1.196,8.2,-86,no
0.293,102.5,1.326,7.7,-22,no
0.302,97,1.29,7.2,-19,yes
