BABIP,tOPS+,WHIP,SO/9,RD,Class
0.324,120,1.382,7.6,-50,no
0.277,95,1.291,9.3,-13,no
0.269,97,1.308,7.9,30,no
0.291,103,1.437,6.9,34,no
0.315,97,1.355,7.6,0,no
0.288,97,1.249,8,-17,no
0.298,90,1.275,8.9,5,yes
0.299,82,1.64,9.3,59,no
0.333,120,1.078,10,-32,yes
0.285,94,1.21,8.4,5,yes
0.3,100,1.353,8.5,-3,yes
0.304,108,1.052,8.4,-46,yes
0.299,101,1.326,8.1,10,no
0.332,110,1.132,8.7,-25,no
0.279,103,1.23,8.9,-4,yes
0.262,92,1.202,8.3,-19,yes
0.275,76,1.362,7.9,26,yes
0.288,112,1.304,7.1,-1,no
0.287,103,1.273,8.3,9,no
0.3,92,1.309,8.5,-11,no
0.3,103,1.524,6.6,46,yes
0.275,86,1.243,7.9,10,no
0.316,109,1.399,7,-20,yes
0.303,99,1.277,8.6,-2,no
0.305,79,1.316,7,-12,no
0.269,79,1.426,7.9,47,no
0.289,92,1.244,8.1,-18,no
0.314,115,1.266,6.6,-33,no
0.301,88,1.299,7.5,23,no
0.294,92,1.226,8.6,2,no
0.302,124,1.263,7.1,-48,no
0.295,98,1.221,7,-18,yes
0.257,71,1.17,7.6,12,no
0.278,90,1.135,7.5,28,no
0.32,118,1.286,7.8,-24,no
0.277,89,1.224,7.9,-16,yes
0.275,79,1.19,8.7,4,yes
0.275,79,1.192,8.1,-21,no
0.294,93,1.21,8.7,1,yes
0.333,101,1.189,7,-29,no
0.291,88,1.082,8.4,6,no
0.286,97,1.225,6.4,-19,yes
0.306,113,1.337,8.2,14,no
0.289,92,1.111,7.9,1,no
0.283,89,1.111,8.2,-76,yes
0.264,73,1.127,8.3,2,no
0.267,88,1.26,7.2,-3,no
0.272,92,1.1,7.7,11,no
0.332,117,1.439,6.8,108,no
0.322,106,1.363,7.2,-3,yes
0.294,95,1.642,6.9,47,yes
0.28,85,1.216,7.5,21,no
0.31,108,1.434,7.9,26,no
0.3,105,1.374,7.3,24,no
0.342,117,1.589,7.5,19,no
0.297,98,1.353,7.1,-12,yes
0.325,111,1.587,7.7,30,no
0.3,107,1.27,6.6,3,no
0.339,120,1.168,8.2,-21,no
0.305,119,1.205,7.9,-37,yes
0.295,101,1.038,8.5,-39,yes
0.296,95,1.636,6.8,42,no
0.275,102,1.164,6.6,-28,yes
0.329,108,1.283,8.1,-18,no
0.271,83,1.186,7.6,11,no
0.301,105,1.389,7,16,yes
0.314,117,1.492,8.3,34,no
0.304,110,1.346,8.6,1,no
0.333,98,1.219,8.6,-5,yes
0.275,78,1.209,7.1,7,yes
0.31,113,1.204,8.6,-26,no
0.32,109,1.283,7.7,-14,no
0.305,91,1.049,8.9,3,no
0.327,95,1.225,6,15,no
0.287,107,1.233,8.4,-17,no
0.322,103,1.203,8.5,-23,yes
0.272,81,1.159,7.5,-20,yes
0.303,116,1.149,8.6,-26,no
0.295,101,1.327,7.7,22,no
0.289,101,1.322,6.5,-9,yes
0.306,102,1.471,6.5,54,no
0.319,114,1.16,9.3,-32,no
0.311,112,1.359,7.6,20,no
0.277,92,1.192,8.3,10,no
0.321,88,1.561,7.3,36,no
0.306,96,1.383,7.3,15,yes
0.338,99,1.314,6.9,-18,yes
0.298,93,1.341,6.3,11,no
0.318,108,1.274,7.6,-19,no
0.28,102,1.262,8,-3,no
0.289,96,1.436,8,26,no
0.296,95,1.57,6.7,43,no
0.255,74,1.164,6.6,-9,yes
0.325,110,1.288,8,-33,yes
0.288,101,1.306,6.9,8,no
0.31,91,1.327,7.1,-7,yes
0.276,105,1.376,6.4,21,no
0.286,96,1.256,7.8,-10,no
0.339,117,1.022,7.5,-53,yes
0.282,81,1.322,8.9,38,no
0.298,98,1.229,7.6,-23,yes
0.292,112,1.346,8.8,20,no
0.307,121,1.357,7.9,-12,no
0.272,98,1.236,7.9,12,no
0.326,119,1.233,7,-18,no
0.289,98,1.373,8.4,18,no
0.274,84,1.352,5.8,8,no
0.281,92,1.504,6.9,31,no
0.302,94,1.481,7,35,no
0.315,100,1.171,7.8,-19,yes
0.285,100,1.411,7.3,20,no
0.325,107,0.973,8.2,-51,yes
0.302,88,1.275,8,-17,yes
0.314,103,1.124,8.2,-39,yes
0.285,76,1.5,6.9,39,no
0.278,95,1.309,7.3,4,no
0.325,108,1.239,7.2,-61,yes
0.288,84,1.374,6.1,26,no
0.293,101,1.285,8.2,25,no
0.292,90,1.205,7.6,-10,no
0.298,109,1.3,6.6,-19,no
0.28,94,1.599,7.2,76,no
0.295,109,1.135,7.9,-34,yes
0.296,109,1.209,7.9,-27,yes
0.314,105,1.349,9.1,-4,no
0.32,110,1.155,7.6,-43,yes
0.278,96,1.307,7.4,-7,no
0.323,108,1.23,8,-26,no
0.289,93,1.286,7.6,2,no
0.313,92,1.186,8.1,9,yes
0.282,110,1.442,7,30,no
0.283,110,1.412,7.4,21,no
0.284,96,1.109,7.6,-30,no
0.28,98,1.387,7.6,30,no
0.317,108,1.487,8,39,no
0.333,107,1.232,8.1,-30,yes
0.291,90,1.421,6.9,29,yes
0.295,105,1.207,7.1,-24,no
0.267,88,1.284,8.8,17,no
0.213,123,1.286,7.8,-25,no
0.327,100,1.311,6.6,29,yes
0.268,77,1.163,9,-18,no
0.295,96,1.356,7.3,19,no
0.303,109,1.351,8,-31,yes
0.294,80,1.408,6.9,44,no
0.324,109,1.537,7.7,26,no
0.296,105,1.233,8,-16,yes
0.32,116,1.419,6.4,-3,no
0.288,105,1.353,6.2,-16,no
0.304,103,1.293,8.3,-18,yes
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
