BABIP,tOPS+,WHIP,SO/9,RD,Class
0.289,97.7,1.393,7.2,-49,no
0.302,103.3,1.303,8.07,25,no
0.285,103.7,1.425,7.6,-52,no
0.292,81.7,1.335,7.8,-104,no
0.312,97.7,1.425,7.47,-57,no
0.297,103.7,1.26,7.57,72,no
0.301,103,1.072,8.9,169,yes
0.327,104,1.43,7.77,-33,no
0.274,91.7,1.127,9.23,42,yes
0.304,104.7,1.23,7.63,59,yes
0.301,98.3,1.166,8.43,94,yes
0.283,101,1.279,7.67,35,yes
0.291,101,1.288,8.6,41,no
0.322,105.7,1.361,8.7,-3,no
0.277,93.3,1.238,8.63,5,yes
0.286,100.3,1.154,9.53,93,yes
0.316,111,1.388,7.63,73,yes
0.297,101.3,1.428,8.4,-55,no
0.283,95,1.323,8.77,-95,no
0.321,104.3,1.428,7.13,-14,no
0.301,98.7,1.331,6.63,55,yes
0.29,101,1.329,8.67,-38,no
0.33,102,1.317,8.8,64,yes
0.282,92,1.55,7.23,-139,no
0.322,104,1.449,7.47,-4,no
0.323,106,1.316,8.27,-12,no
0.32,100.7,1.384,7.3,0,no
0.295,93.7,1.457,7.63,-112,no
0.295,97,1.376,7.87,-9,no
0.279,95,1.25,9.1,-31,no
0.278,94.7,1.206,7.47,0,no
0.287,94.7,1.163,7.7,58,yes
0.297,104,1.221,7.63,45,no
0.302,103.3,1.354,7.2,-32,no
0.287,91,1.346,7.87,-76,no
0.317,104.7,1.187,8.03,97,yes
0.307,95.7,1.186,8.67,8,yes
0.307,95.7,1.331,6.9,-8,no
0.292,108.3,1.184,8.9,64,yes
0.312,99.7,1.266,7.13,22,no
0.289,96,1.293,9.33,-29,no
0.297,93,1.289,7.27,85,yes
0.272,84.3,1.257,7.73,-46,no
0.308,97,1.283,7.07,-35,no
0.278,86,1.19,6.29,-12,yes
0.305,101.7,1.272,7.93,34,no
0.31,106.7,1.282,7.8,45,no
0.296,96.7,1.324,8.43,-37,no
0.286,89.7,1.468,7.47,-127,no
0.307,91,1.213,8.1,47,yes
0.294,92.7,1.346,6.5,6,yes
0.291,92.3,1.19,8.43,6,no
0.284,94,1.337,7.4,-42,no
0.281,103.7,1.294,7.3,-16,no
0.316,101.3,1.464,6.73,-45,no
0.307,98.7,1.217,6.83,49,yes
0.331,102.7,1.286,6.8,-4,no
0.296,97.3,1.338,5.9,3,no
0.286,89,1.369,8.33,-80,no
0.284,101.7,1.272,8.5,20,yes
0.299,108,1.258,8.33,58,yes
0.271,89.7,1.336,7.3,-58,no
0.288,110.7,1.17,7.53,136,yes
0.293,104,1.249,8.43,29,no
0.305,108.7,1.245,7.6,38,no
0.297,97.7,1.19,7.87,17,yes
0.283,93.3,1.238,8.37,-11,no
0.298,106,1.333,7.73,-63,no
0.306,96.7,1.207,8.47,53,yes
0.296,100,1.171,7.4,29,yes
0.292,101.7,1.359,8.67,-24,no
0.291,105.3,1.375,7.3,37,no
