BABIP,tOPS+,WHIP,SO/9,RD,Class
0.293,101,1.513,6.7,-34,no
0.323,117,1.241,7.9,47,no
0.293,115,1.474,7.3,-6,no
0.308,98,1.296,7.8,-28,no
0.325,100,1.341,7.5,-15,no
0.271,92,1.228,7,18,no
0.299,104,1.116,8.9,41,yes
0.356,103,1.343,8.1,-1,no
0.258,95,1.207,9.6,6,yes
0.324,109,1.186,7.4,36,yes
0.297,110,1.035,8.7,68,yes
0.288,120,1.367,8.4,27,yes
0.304,97,1.51,8.9,-24,no
0.32,103,1.279,9.6,10,no
0.281,85,1.281,8.1,-16,yes
0.309,115,1.227,10.4,37,yes
0.34,132,1.502,7.4,45,yes
0.325,127,1.448,8.8,-1,no
0.284,106,1.533,8.3,-47,no
0.29,83,1.496,7,-48,no
0.307,108,1.317,6.1,30,yes
0.294,104,1.516,9.1,-33,no
0.308,90,1.363,8.4,-16,yes
0.299,99,1.44,7.2,-29,no
0.324,109,1.487,7.7,5,no
0.339,109,1.263,8,-19,no
0.336,111,1.345,6.9,19,no
0.301,105,1.477,6.7,-34,no
0.301,105,1.647,8.2,-31,no
0.307,110,1.304,9.3,-7,no
0.288,103,1.194,7.4,-8,no
0.295,100,1.203,8,36,yes
0.302,109,1.185,7.6,44,no
0.325,107,1.374,7,-19,no
0.315,98,1.287,7,-11,no
0.311,101,1.127,8,37,yes
0.307,95,1.183,8.4,10,yes
0.307,95,1.353,6.8,-21,no
0.288,102,1.217,8.7,12,yes
0.305,99,1.265,7.9,10,no
0.302,87,1.228,8.4,-33,no
0.291,95,1.184,7.7,60,yes
0.273,70,1.172,7.9,-28,no
0.293,97,1.278,7.6,-14,no
0.276,82,1.267,2.6,-18,yes
0.318,101,1.182,7.9,18,no
0.324,115,1.269,8.3,46,no
0.288,91,1.34,8,-29,no
0.293,99,1.603,8.1,-54,no
0.326,91,1.171,7.5,13,yes
0.314,96,1.263,6.2,7,yes
0.282,86,1.268,8.3,-7,no
0.315,108,1.285,7.5,6,no
0.307,111,1.263,7.2,9,no
0.318,105,1.512,7.2,-17,no
0.294,87,1.224,6.7,0,yes
0.335,103,1.359,7.2,-3,no
0.274,96,1.352,6.2,-18,no
0.267,86,1.397,9,-38,no
0.302,115,1.331,8.6,10,yes
0.294,98,1.311,8.7,18,yes
0.261,82,1.331,7.1,-18,no
0.301,102,1.254,7.7,22,yes
0.294,103,1.342,8.1,-7,no
0.306,117,1.271,6.8,25,no
0.269,92,1.231,6.9,-3,yes
0.275,90,1.209,8.8,-3,no
0.298,108,1.312,7.8,-4,no
0.312,92,1.048,8.5,39,yes
0.308,94,1.172,6.8,-23,yes
0.296,97,1.34,8,-1,no
0.281,92,1.318,6.9,-5,no
0.308,112,1.04,8.2,47,no
0.307,81,1.341,7.5,-24,no
0.297,107,1.251,7.6,2,no
0.291,85,1.098,7.2,27,yes
0.301,114,1.3,6.3,21,yes
0.215,56,1.181,8.3,-35,no
0.285,95,1.192,7.7,-9,no
0.332,106,1.19,7.9,25,yes
0.296,97,1.557,7.7,-38,no
0.296,114,1.108,10,-2,no
0.281,88,1.175,7.6,-25,no
0.297,116,1.175,8.4,33,no
0.336,100,1.621,6.3,-48,no
0.313,116,1.235,6.9,36,yes
0.318,111,1.372,7.9,-1,yes
0.299,93,1.287,6.5,-10,no
0.29,102,1.37,7.3,-16,no
0.275,94,1.282,8,-23,no
0.312,106,1.251,8,17,no
0.261,82,1.291,7.5,-20,no
0.293,97,1.12,6.2,26,yes
0.294,100,1.118,8,19,yes
0.297,97,1.226,6.6,-11,no
0.326,113,1.187,7.7,40,yes
0.259,93,1.323,7.6,-21,no
0.304,92,1.355,7.4,-10,no
0.292,93,1.381,7.8,-11,yes
0.319,96,1.239,7.7,-19,no
0.306,98,1.407,7.5,7,yes
0.27,98,1.187,6.8,42,no
0.279,91,1.316,7.5,-32,no
0.299,117,1.229,6.7,3,no
0.276,96,1.327,7.4,-12,no
0.286,96,1.208,8.3,3,no
0.302,98,1.302,7.1,5,no
0.307,112,1.277,6.6,0,no
0.317,119,1.307,6.7,4,no
0.301,102,1.178,7.2,22,yes
0.264,80,1.279,7.6,-27,no
0.284,95,1.323,8.2,-9,yes
0.353,108,1.408,7.4,33,yes
0.272,88,1.257,8,-23,yes
0.324,110,1.398,6.7,1,no
0.297,102,1.275,7.3,19,no
0.317,103,1.289,8.1,10,yes
0.301,116,1.368,6.3,-2,no
0.299,106,1.385,8.5,-20,no
0.269,82,1.34,7.7,-34,no
0.332,118,1.359,6.9,32,no
0.303,110,1.424,6.7,-40,no
0.296,111,1.211,7.3,34,yes
0.314,105,1.261,7.9,7,yes
0.281,97,1.32,8.9,6,no
0.308,89,1.387,7.1,-9,yes
0.295,97,1.44,6.8,-28,no
0.322,118,1.26,8.4,31,no
0.267,66,1.347,7.3,-27,no
0.308,92,1.206,7.8,13,yes
0.299,104,1.369,6.9,-17,no
0.294,121,1.395,6.8,7,no
0.275,94,1.351,8.4,-31,no
0.271,97,1.443,6.7,-63,no
0.29,108,1.126,8,51,no
0.299,96,1.293,7.7,19,yes
0.272,82,1.384,6.9,-30,yes
0.301,97,1.35,8.3,-19,no
0.287,107,1.396,8.7,-22,no
0.311,123,1.318,7.3,36,no
0.327,100,1.248,7.9,23,yes
0.277,81,1.274,8.3,-9,no
0.298,107,1.079,7.3,38,no
0.306,113,1.164,7.8,17,yes
0.342,111,1.651,7.4,-38,no
0.299,98,1.414,7.6,-16,no
0.311,96,1.333,8.1,-3,yes
0.317,111,1.339,5.9,-13,no
0.29,92,1.285,8,7,no
0.274,98,1.176,8.7,44,yes
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
