BABIP,tOPS+,WHIP,SO/9,RD,Class
0.287,96,1.333,7.45,-15,no
0.292,96.5,1.334,8.15,-22,no
0.282,98,1.4,7.75,-46,no
0.285,73.5,1.355,7.8,-76,no
0.306,96.5,1.467,7.45,-42,no
0.311,109.5,1.277,7.85,54,no
0.303,102.5,1.05,8.9,128,yes
0.313,104.5,1.474,7.6,-32,no
0.283,90,1.087,9.05,36,yes
0.294,102.5,1.252,7.75,23,yes
0.303,92.5,1.232,8.3,26,yes
0.281,91.5,1.235,7.3,8,yes
0.284,103,1.177,8.45,65,no
0.323,107,1.402,8.25,-13,no
0.276,97.5,1.216,8.9,21,yes
0.275,93,1.117,9.1,56,yes
0.304,100.5,1.331,7.75,28,yes
0.283,88.5,1.418,8.2,-54,no
0.283,89.5,1.219,9,-48,no
0.337,115,1.394,7.2,34,no
0.299,94,1.339,6.9,25,yes
0.288,99.5,1.236,8.45,-5,no
0.341,108,1.295,9,80,yes
0.274,88.5,1.605,7.25,-110,no
0.322,101.5,1.43,7.35,-9,no
0.315,104.5,1.343,8.4,7,no
0.312,95.5,1.404,7.5,-19,no
0.292,88,1.448,8.1,-78,no
0.292,93,1.24,7.7,22,no
0.266,87.5,1.223,9,-24,no
0.273,90.5,1.212,7.5,8,no
0.284,92,1.143,7.55,22,yes
0.294,101.5,1.239,7.65,1,no
0.291,101.5,1.344,7.3,-13,no
0.273,87.5,1.375,8.3,-65,no
0.32,106.5,1.218,8.05,60,yes
0.307,96,1.188,8.8,-2,yes
0.307,96,1.321,6.95,13,no
0.294,111.5,1.168,9,52,yes
0.315,100,1.266,6.75,12,no
0.283,100.5,1.325,9.8,4,no
0.3,92,1.342,7.05,25,yes
0.272,91.5,1.299,7.65,-18,no
0.316,97,1.285,6.8,-21,no
0.28,88,1.152,8.15,6,yes
0.299,102,1.318,7.95,16,no
0.304,102.5,1.289,7.55,-1,no
0.301,99.5,1.316,8.65,-8,no
0.282,85,1.401,7.15,-73,no
0.297,91,1.235,8.4,34,yes
0.284,91,1.388,6.65,-1,yes
0.296,95.5,1.152,8.5,13,no
0.269,87,1.363,7.35,-48,no
0.269,100,1.31,7.35,-25,no
0.315,99.5,1.441,6.5,-28,no
0.314,104.5,1.214,6.9,49,yes
0.33,102.5,1.249,6.6,-1,no
0.308,98,1.331,5.75,21,no
0.295,90.5,1.355,8,-42,no
0.275,95,1.243,8.45,10,yes
0.302,113,1.232,8.15,40,yes
0.276,93.5,1.339,7.4,-40,no
0.282,115,1.129,7.45,114,yes
0.292,104.5,1.203,8.6,36,no
0.305,104.5,1.232,8,13,no
0.311,100.5,1.169,8.35,20,yes
0.287,95,1.253,8.15,-8,no
0.298,105,1.343,7.7,-59,no
0.304,99,1.287,8.45,14,yes
0.29,103,1.17,7.7,52,yes
0.29,104,1.369,9,-23,no
0.296,112,1.403,7.5,42,no
0.277,95,1.247,7.55,2,no
0.32,114,1.348,7.9,10,no
0.291,96.5,1.325,7.85,-3,no
0.298,97.5,1.253,8.25,4,yes
0.306,96.5,1.385,6.95,-12,yes
0.276,104,1.228,7.95,-25,no
0.296,107,1.393,7.7,-35,no
0.294,90.5,1.324,7.2,-35,yes
0.315,107.5,1.442,7.35,-21,no
0.284,100.5,1.335,8.1,-41,no
0.301,106,1.363,8.15,-9,no
0.29,104,1.222,7.7,-11,no
0.321,107,1.332,6.55,37,no
0.291,92,1.294,7.45,-18,yes
0.308,98.5,1.296,7.9,20,yes
0.301,95,1.388,6.05,-22,no
0.317,103.5,1.44,6.9,-17,no
0.301,108.5,1.278,8.9,-10,no
0.299,100.5,1.414,7.15,-11,no
0.315,109,1.595,6.45,-98,no
0.288,96.5,1.236,7.25,29,yes
0.297,103.5,1.219,7.05,48,yes
0.302,104,1.365,7.4,-45,no
0.312,98,1.196,8,72,yes
0.285,108.5,1.208,7.7,11,no
0.3,103,1.253,7.4,17,no
0.302,94,1.309,7.9,-35,yes
0.306,109,1.343,8.05,-2,no
0.308,108.5,1.333,8.75,21,yes
0.283,101,1.425,7.05,-42,no
0.279,100.5,1.243,8.2,-34,no
0.264,90.5,1.368,7.1,-86,no
0.276,98.5,1.318,7.35,-37,no
0.279,88,1.229,7.15,-22,no
0.299,112.5,1.339,6.9,23,no
0.289,100,1.35,6.7,-26,no
0.285,100.5,1.323,7.45,-50,no
0.288,95,1.204,8,23,yes
0.305,111,1.24,8.3,66,no
0.292,104.5,1.254,8.25,27,yes
0.321,95.5,1.316,9.15,47,yes
0.299,106.5,1.167,8.2,67,yes
0.307,106,1.334,6.55,25,no
0.305,98,1.307,7.55,28,no
0.316,97.5,1.207,9.85,54,yes
0.29,99.5,1.421,5.75,-26,no
0.28,95.5,1.241,7.8,-32,no
0.282,107.5,1.242,8.1,18,no
0.306,94.5,1.218,7.35,8,no
0.299,107,1.364,7.3,-10,no
0.249,75,1.303,5.9,-39,yes
0.303,105.5,1.371,7.6,18,yes
0.283,90.5,1.436,8.25,-18,no
0.325,111,1.257,7.2,65,yes
0.295,103,1.349,7.15,-46,no
0.309,94.5,1.338,6.9,-17,no
0.319,116,1.208,8.25,40,no
0.302,94.5,1.262,7.5,2,yes
0.282,103,1.39,6.3,-24,no
0.272,102.5,1.342,7.1,26,no
0.277,101,1.212,7,3,no
0.286,101,1.273,6.9,2,no
0.274,106,1.359,8.05,-24,no
0.293,87.5,1.137,8.5,25,yes
0.286,104.5,1.269,7.1,8,yes
0.28,85,1.335,7.5,-61,no
0.303,97.5,1.201,7.95,10,no
0.268,77,1.239,7.2,-29,no
0.311,115,1.197,7.85,79,yes
0.305,111.5,1.277,8.05,10,no
0.316,116.5,1.413,7.15,18,no
0.283,95.5,1.267,7.7,17,yes
0.293,101.5,1.57,7.75,-16,no
0.293,102,1.427,7.2,-19,no
0.301,94,1.35,8.55,-6,yes
0.282,96,1.419,5.7,-74,no
0.3,100.5,1.177,7.8,37,no
0.288,101.5,1.355,8.25,25,yes
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
