BABIP,tOPS+,WHIP,SO/9,RD,Class
0.324,110,1.426,7.9,-2,no
0.287,96,1.218,8.7,11,no
0.296,103,1.504,7.5,-38,no
0.269,78,1.227,7.7,-29,no
0.327,107,1.227,7.7,6,no
0.3,102,1.272,7.8,15,no
0.315,98,1.114,8.6,49,yes
0.328,102,1.48,7.6,-14,no
0.271,90,1.013,10.1,28,yes
0.29,93,1.112,7.6,20,yes
0.296,99,1.266,8.4,20,yes
0.277,95,1.172,7.1,10,yes
0.315,117,1.198,8.4,41,no
0.321,106,1.449,8.3,-11,no
0.252,82,1.167,8.3,-20,yes
0.282,101,1.153,9.6,23,yes
0.291,91,1.407,7.4,-14,yes
0.258,82,1.391,8.2,-26,no
0.282,86,1.272,7.8,-31,no
0.326,105,1.355,6.2,15,no
0.297,99,1.391,7.2,9,yes
0.299,112,1.376,7.8,-1,no
0.342,120,1.266,8.2,59,yes
0.262,93,1.665,7.2,-57,no
0.323,93,1.435,6.8,0,no
0.339,113,1.361,8.4,11,no
0.306,96,1.423,7.8,-35,no
0.285,88,1.53,8.2,-48,no
0.308,96,1.354,7.7,3,no
0.263,90,1.156,8.6,6,no
0.271,95,1.157,8,7,no
0.279,90,1.232,8,-6,yes
0.285,98,1.299,7.8,-10,no
0.294,95,1.311,7.5,-4,no
0.264,96,1.365,9.5,-18,no
0.317,104,1.322,8.3,23,yes
0.295,94,1.228,8.6,-14,yes
0.295,94,1.315,7.5,3,no
0.291,99,1.167,8.3,29,yes
0.336,115,1.192,7,40,no
0.298,115,1.185,9.7,23,no
0.316,98,1.238,6.6,18,yes
0.275,95,1.282,7.3,-1,no
0.302,94,1.358,7,-31,no
0.281,86,1.174,8.4,-10,yes
0.313,115,1.241,8.2,20,no
0.277,78,1.233,7.7,-9,no
0.297,90,1.288,8.7,-5,no
0.303,91,1.311,7,-27,no
0.313,104,1.254,7.8,16,yes
0.319,115,1.31,6.8,20,yes
0.296,96,1.169,8.7,12,no
0.266,80,1.362,6.2,-42,no
0.286,106,1.451,6.4,-19,no
0.3,94,1.389,6.1,-11,no
0.282,87,1.314,7,4,yes
0.316,92,1.253,6.4,-11,no
0.314,112,1.31,6.1,35,no
0.291,93,1.376,8.3,-17,no
0.274,91,1.328,7.9,-15,yes
0.309,116,1.219,7.9,-7,yes
0.298,102,1.226,7.4,14,no
0.265,112,1.144,6.8,53,yes
0.295,103,1.282,8.5,18,no
0.31,107,1.37,7.3,-4,no
0.328,103,1.203,7.9,7,yes
0.277,98,1.188,8.7,0,no
0.303,110,1.249,7.2,-2,no
0.308,105,1.342,8.1,11,yes
0.299,102,1.162,7.9,35,yes
0.305,118,1.329,8.9,5,no
0.302,124,1.354,6.7,41,no
0.276,95,1.201,7.1,14,no
0.307,115,1.46,7.5,-2,no
0.3,108,1.369,7.9,-10,no
0.282,88,1.233,6.9,-12,yes
0.292,97,1.298,7.1,-5,yes
0.278,120,1.245,8.2,3,no
0.278,106,1.366,7.9,-16,no
0.329,104,1.393,7.3,-26,yes
0.321,110,1.508,7.6,-4,no
0.28,93,1.327,8.6,-22,no
0.302,103,1.344,8,2,no
0.282,96,1.196,7.6,-21,no
0.316,101,1.361,6.1,4,no
0.282,86,1.364,6.6,-28,yes
0.304,102,1.326,7.3,12,yes
0.282,80,1.291,6.4,-27,no
0.309,91,1.357,7,-19,no
0.292,104,1.249,8.6,1,no
0.285,106,1.327,7.4,17,no
0.298,102,1.56,6.8,-47,no
0.282,88,1.135,7.2,8,yes
0.293,100,1.235,7.2,18,yes
0.305,96,1.446,7.8,-50,no
0.339,111,1.133,7.7,48,yes
0.306,114,1.16,7.3,30,no
0.318,109,1.259,7.2,1,no
0.313,96,1.333,7.2,-15,yes
0.311,120,1.485,7.7,-6,no
0.311,102,1.371,9.4,10,yes
0.302,112,1.418,6.8,-9,no
0.27,104,1.26,8.6,-1,no
0.258,91,1.389,7.1,-42,no
0.275,90,1.325,7.7,-38,no
0.28,83,1.169,6.8,-3,no
0.299,121,1.396,7.1,-3,no
0.273,97,1.267,6.9,-4,no
