BABIP,tOPS+,WHIP,SO/9,RD,Class
0.288,99.7,1.389,7.18,-114,no
0.298,99.7,1.296,8.53,1,no
0.28,100,1.343,7.47,-50,no
0.305,98.8,1.36,7.6,-65,no
0.304,99.2,1.385,7.38,-75,no
0.294,101.7,1.313,7.98,26,no
0.302,100,1.108,8.92,262,yes
0.316,99.5,1.495,8.18,-25,no
0.294,100.3,1.19,9.33,32,yes
0.299,100.3,1.219,8.07,85,yes
0.304,99.2,1.239,8.67,91,yes
0.289,99.8,1.235,8.12,-1,yes
0.279,99.8,1.281,8.17,83,no
0.314,100.2,1.358,8.63,-73,no
0.282,100,1.268,8.72,47,yes
0.292,102.2,1.19,9.08,109,yes
0.292,100,1.362,7.85,102,yes
0.291,100.2,1.387,7.65,-81,no
0.291,99.3,1.342,8.35,-169,no
0.311,100,1.392,7.67,-44,no
0.298,99.7,1.369,7.18,105,yes
0.292,99.2,1.315,8.57,-26,no
0.32,105.7,1.279,8.52,146,yes
0.302,99.2,1.45,7.77,-142,no
0.325,100.2,1.452,7.7,-36,no
0.308,99.5,1.355,8.05,61,no
0.312,99.5,1.318,7.78,-4,no
0.299,100,1.45,7.42,-242,no
0.303,99.5,1.341,7.88,26,no
0.288,99.3,1.262,8.82,-15,no
0.28,99.5,1.263,7.58,-103,no
0.291,99.2,1.196,7.93,57,yes
0.288,99.2,1.287,7.37,-14,no
0.296,100.5,1.364,7.37,-140,no
0.302,99.3,1.357,7.87,-120,no
0.304,100.5,1.244,8.13,102,yes
0.305,99.5,1.157,8.82,79,yes
0.305,99.5,1.325,7.42,-19,no
0.293,101,1.185,8.75,65,yes
0.313,99.3,1.233,7.23,21,no
0.298,98.5,1.199,8.87,33,no
0.297,99,1.222,7,191,yes
0.291,98.7,1.312,7.9,-39,no
0.307,99.7,1.308,7.27,-59,no
0.286,98.7,1.176,7.38,-6,yes
0.298,98.7,1.213,8.37,66,no
0.292,101,1.315,7.72,-1,no
0.292,99.8,1.304,8.65,-53,no
0.299,99.3,1.451,7.2,-71,no
0.313,99.2,1.239,8.08,91,yes
0.298,98,1.377,6.82,105,yes
0.299,99,1.228,8.38,35,no
0.304,102.8,1.36,7.58,60,no
0.288,100,1.354,7.72,-60,no
0.314,100.8,1.514,7,-76,no
0.302,100,1.271,7.15,46,yes
0.323,100.7,1.366,6.85,-58,no
0.292,99.7,1.332,6.45,11,no
0.297,99.5,1.319,8.4,-115,no
0.284,100.7,1.289,8.45,2,yes
0.286,104,1.226,8.13,72,yes
0.291,94.5,1.337,7.12,-10,no
0.278,99.2,1.149,7.5,103,yes
0.297,99,1.266,8.05,-33,no
0.292,99.3,1.247,7.7,13,no
0.3,100,1.24,7.57,47,yes
0.297,99.8,1.307,8.08,-24,no
0.293,99.8,1.339,7.97,-120,no
0.319,99.7,1.205,8.47,89,yes
0.303,99.3,1.17,7.5,64,yes
0.296,99.8,1.269,8.87,-38,no
0.295,99.3,1.307,7.48,16,no
0.288,99.8,1.175,8.18,79,no
