BABIP,tOPS+,WHIP,SO/9,RD,Class
0.269,89,1.353,7.3,9,no
0.295,93,1.358,8.3,-24,no
0.277,101,1.285,7.3,-13,no
0.351,126,1.308,7.7,20,no
0.286,103,1.254,6.9,9,no
0.292,101,1.494,8.5,-19,no
0.292,93,1.057,9,30,yes
0.301,101,1.427,8.8,-7,no
0.307,98,1.15,10,39,yes
0.286,87,1.153,8.7,12,yes
0.291,93,1.226,9.1,3,yes
0.287,85,1.269,8.6,-15,yes
0.213,107,1.211,7.7,44,no
0.291,84,1.462,8.6,-27,no
0.289,110,1.301,9,46,yes
0.313,110,1.268,9.1,6,yes
0.264,90,1.174,8.4,23,yes
0.29,92,1.29,7.2,-3,no
0.324,106,1.398,7.4,-43,no
0.317,106,1.482,8.4,-30,no
0.295,102,1.392,8.1,-9,yes
0.297,94,1.363,7.9,-24,no
0.299,111,1.122,9,65,yes
0.338,109,1.447,8.1,-15,no
0.334,94,1.531,8.6,-36,no
0.314,102,1.591,7.8,-16,no
0.326,106,1.33,9.2,8,no
0.276,94,1.447,8.2,-47,no
0.332,112,1.292,8.7,17,no
0.282,99,1.36,8,-9,no
0.286,111,1.308,8.7,17,no
0.314,125,1.344,8.7,-8,yes
0.276,105,1.618,6.1,-56,no
0.291,97,1.412,8.1,-56,no
0.322,99,1.421,7.7,-2,no
0.297,100,1.399,9,-6,yes
0.325,111,0.946,9.4,49,yes
0.325,111,1.385,8.5,0,no
0.289,94,1.146,8.4,-1,yes
0.311,100,1.185,6.9,18,no
0.294,106,1.16,8,21,no
0.311,110,1.181,6.6,38,yes
0.305,112,1.274,8.7,29,no
0.331,116,1.438,7.2,2,no
0.293,117,1.24,8.6,21,yes
0.308,104,1.101,9.4,32,no
0.268,104,1.433,8.1,-31,no
0.286,101,1.435,10.1,-35,no
0.289,94,1.439,7.4,-23,no
0.316,102,1.235,8.9,16,yes
0.301,112,1.297,7.3,37,yes
0.318,116,1.305,8.1,12,no
0.318,104,1.27,8.2,45,no
0.301,94,1.505,9,-46,no
0.308,95,1.505,7.3,-10,no
0.299,105,1.432,7.7,-15,yes
0.326,91,1.371,6.2,-45,no
0.284,101,1.268,7.5,12,no
0.285,101,1.346,8,-15,no
0.266,89,1.388,8.9,0,yes
0.226,95,1.351,7.6,25,yes
0.32,91,1.113,7.2,0,no
0.271,77,1.023,8.5,6,yes
0.261,68,1.353,7.7,-50,no
0.268,81,1.179,8.7,-22,no
0.297,91,1.154,7.6,23,yes
0.315,100,1.459,7.7,-38,no
0.291,84,1.396,7.8,-29,no
0.34,123,1.223,8.6,42,yes
0.311,98,1.228,7.7,-12,yes
0.284,87,1.218,9.8,-9,no
0.3,95,1.097,7.6,39,no
0.256,94,1.312,8.7,-16,no
0.315,94,1.353,7.1,-2,no
0.305,121,1.267,8.7,24,no
0.306,103,1.008,7.5,25,yes
0.292,99,1.144,7.8,34,yes
0.287,103,1.291,7.5,-19,no
0.284,85,1.278,7.6,-4,no
0.32,110,1.111,9.3,39,yes
0.318,100,1.235,5.9,-4,no
0.272,88,1.182,8.3,-28,no
0.305,102,1.337,6.3,-9,no
0.267,89,1.304,7.7,-26,no
0.355,114,1.355,6.6,24,no
0.319,98,1.192,7.5,6,yes
0.334,107,1.341,7.6,19,yes
0.333,106,1.401,6.9,-13,no
0.281,87,1.41,7.4,-21,no
0.256,88,1.176,8.7,-4,no
0.325,101,1.326,7.3,22,no
0.32,91,1.421,7.3,-47,no
0.314,124,1.17,9.2,69,yes
0.286,89,1.268,7.8,7,yes
0.281,92,1.197,7,16,no
0.311,98,1.177,7.6,52,yes
0.268,93,1.292,7.9,-31,no
0.295,95,1.36,6.5,-25,no
0.292,96,1.259,8.4,0,yes
0.32,116,1.273,7.2,25,no
0.313,110,1.278,9.8,57,yes
